,code,name,code_num
569,002107.XSHE,沃华医药,002107
570,002108.XSHE,沧州明珠,002108
571,002109.XSHE,兴化股份,002109
572,002110.XSHE,三钢闽光,002110
573,002111.XSHE,威海广泰,002111
574,002112.XSHE,三变科技,002112
575,002113.XSHE,天润数娱,002113
576,002114.XSHE,罗平锌电,002114
577,002115.XSHE,三维通信,002115
578,002116.XSHE,中国海诚,002116
579,002117.XSHE,东港股份,002117
580,002118.XSHE,紫鑫药业,002118
581,002119.XSHE,康强电子,002119
582,002120.XSHE,韵达股份,002120
583,002121.XSHE,科陆电子,002121
584,002122.XSHE,*ST天马,002122
585,002123.XSHE,梦网集团,002123
586,002124.XSHE,天邦股份,002124
587,002125.XSHE,湘潭电化,002125
588,002126.XSHE,银轮股份,002126
589,002127.XSHE,南极电商,002127
590,002128.XSHE,露天煤业,002128
591,002129.XSHE,中环股份,002129
592,002130.XSHE,沃尔核材,002130
593,002131.XSHE,利欧股份,002131
594,002132.XSHE,恒星科技,002132
595,002133.XSHE,广宇集团,002133
596,002134.XSHE,天津普林,002134
597,002135.XSHE,东南网架,002135
598,002136.XSHE,安纳达,002136
599,002137.XSHE,麦达数字,002137
600,002138.XSHE,顺络电子,002138
601,002139.XSHE,拓邦股份,002139
602,002140.XSHE,东华科技,002140
603,002141.XSHE,贤丰控股,002141
604,002142.XSHE,宁波银行,002142
605,002143.XSHE,印纪传媒,002143
606,002144.XSHE,宏达高科,002144
607,002145.XSHE,中核钛白,002145
608,002146.XSHE,荣盛发展,002146
609,002147.XSHE,ST新光,002147
610,002148.XSHE,北纬科技,002148
611,002149.XSHE,西部材料,002149
612,002150.XSHE,通润装备,002150
613,002151.XSHE,北斗星通,002151
614,002152.XSHE,广电运通,002152
615,002153.XSHE,石基信息,002153
616,002154.XSHE,报喜鸟,002154
617,002155.XSHE,湖南黄金,002155
618,002156.XSHE,通富微电,002156
619,002157.XSHE,正邦科技,002157
620,002158.XSHE,汉钟精机,002158
621,002159.XSHE,三特索道,002159
622,002160.XSHE,常铝股份,002160
623,002161.XSHE,远望谷,002161
624,002162.XSHE,悦心健康,002162
625,002163.XSHE,中航三鑫,002163
626,002164.XSHE,宁波东力,002164
627,002165.XSHE,红宝丽,002165
628,002166.XSHE,莱茵生物,002166
629,002167.XSHE,东方锆业,002167
630,002168.XSHE,惠程科技,002168
631,002169.XSHE,智光电气,002169
632,002170.XSHE,芭田股份,002170
633,002171.XSHE,楚江新材,002171
634,002172.XSHE,澳洋健康,002172
635,002173.XSHE,创新医疗,002173
636,002174.XSHE,游族网络,002174
637,002175.XSHE,东方网络,002175
638,002176.XSHE,江特电机,002176
639,002177.XSHE,御银股份,002177
640,002178.XSHE,延华智能,002178
641,002179.XSHE,中航光电,002179
642,002180.XSHE,纳思达,002180
643,002181.XSHE,粤传媒,002181
644,002182.XSHE,云海金属,002182
645,002183.XSHE,怡亚通,002183
646,002184.XSHE,海得控制,002184
647,002185.XSHE,华天科技,002185
648,002186.XSHE,全聚德,002186
649,002187.XSHE,广百股份,002187
650,002188.XSHE,*ST巴士,002188
651,002189.XSHE,利达光电,002189
652,002190.XSHE,成飞集成,002190
653,002191.XSHE,劲嘉股份,002191
654,002192.XSHE,融捷股份,002192
655,002193.XSHE,如意集团,002193
656,002194.XSHE,*ST凡谷,002194
657,002195.XSHE,二三四五,002195
658,002196.XSHE,方正电机,002196
659,002197.XSHE,证通电子,002197
660,002198.XSHE,嘉应制药,002198
661,002199.XSHE,东晶电子,002199
662,002200.XSHE,云投生态,002200
663,002201.XSHE,九鼎新材,002201
664,002202.XSHE,金风科技,002202
665,002203.XSHE,海亮股份,002203
666,002204.XSHE,大连重工,002204
667,002205.XSHE,国统股份,002205
668,002206.XSHE,海利得,002206
669,002207.XSHE,ST准油,002207
670,002208.XSHE,合肥城建,002208
671,002209.XSHE,达意隆,002209
672,002210.XSHE,飞马国际,002210
673,002211.XSHE,宏达新材,002211
674,002212.XSHE,南洋股份,002212
675,002213.XSHE,特尔佳,002213
676,002214.XSHE,大立科技,002214
677,002215.XSHE,诺普信,002215
678,002216.XSHE,三全食品,002216
679,002217.XSHE,合力泰,002217
680,002218.XSHE,拓日新能,002218
681,002219.XSHE,恒康医疗,002219
682,002220.XSHE,天宝食品,002220
683,002221.XSHE,东华能源,002221
684,002222.XSHE,福晶科技,002222
685,002223.XSHE,鱼跃医疗,002223
686,002224.XSHE,三力士,002224
687,002225.XSHE,濮耐股份,002225
688,002226.XSHE,江南化工,002226
689,002227.XSHE,奥特迅,002227
690,002228.XSHE,合兴包装,002228
691,002229.XSHE,鸿博股份,002229
692,002230.XSHE,科大讯飞,002230
693,002231.XSHE,奥维通信,002231
694,002232.XSHE,启明信息,002232
695,002233.XSHE,塔牌集团,002233
696,002234.XSHE,民和股份,002234
697,002235.XSHE,安妮股份,002235
698,002236.XSHE,大华股份,002236
699,002237.XSHE,恒邦股份,002237
700,002238.XSHE,天威视讯,002238
701,002239.XSHE,奥特佳,002239
702,002240.XSHE,威华股份,002240
703,002241.XSHE,歌尔股份,002241
704,002242.XSHE,九阳股份,002242
705,002243.XSHE,通产丽星,002243
706,002244.XSHE,滨江集团,002244
707,002245.XSHE,澳洋顺昌,002245
708,002246.XSHE,北化股份,002246
709,002247.XSHE,聚力文化,002247
710,002248.XSHE,华东数控,002248
711,002249.XSHE,大洋电机,002249
712,002250.XSHE,联化科技,002250
713,002251.XSHE,步步高,002251
714,002252.XSHE,上海莱士,002252
715,002253.XSHE,川大智胜,002253
716,002254.XSHE,泰和新材,002254
717,002255.XSHE,海陆重工,002255
718,002256.XSHE,兆新股份,002256
719,002258.XSHE,利尔化学,002258
720,002259.XSHE,ST升达,002259
721,002260.XSHE,*ST德奥,002260
722,002261.XSHE,拓维信息,002261
723,002262.XSHE,恩华药业,002262
724,002263.XSHE,*ST东南,002263
725,002264.XSHE,新华都,002264
726,002265.XSHE,西仪股份,002265
727,002266.XSHE,浙富控股,002266
728,002267.XSHE,陕天然气,002267
729,002268.XSHE,卫士通,002268
730,002269.XSHE,美邦服饰,002269
731,002270.XSHE,华明装备,002270
732,002271.XSHE,东方雨虹,002271
733,002272.XSHE,川润股份,002272
734,002273.XSHE,水晶光电,002273
735,002274.XSHE,华昌化工,002274
736,002275.XSHE,桂林三金,002275
737,002276.XSHE,万马股份,002276
